代码,类型,名称,现价,涨跌,涨跌幅,溢折率,成交额,换手率,5日涨跌幅,年初至今,基金份额,估算规模,规模变化,管理公司,年初至今份额变动,年初至今份额变动率,IOPV,跟踪指数代码,跟踪指数名称,市盈率,市净率,上市地
159635.SZ,主,基建50ETF,0.993,0.009,0.0091,-0.0003,9988328,0.1051,0.0051,-0.0406,95846980,94485952.88,-67092.886,华夏基金,-22000000,-18.66827644,0.9933,930608.CSI,中证基建,8.4105,0.7392,深圳证券交易所
560280.SH,主,工程机械ETF,1.267,0.008,0.0064,0.0006,9937260,0.0753,-0.0125,0.071,104252000,131180291.6,930030.8,广发基金,20000000,23.73830888,1.2662,931752.CSI,工程机械主题,21.9361,1.7962,上海证券交易所
561100.SH,主,消费电子ETF富国,0.842,-0.002,-0.0024,0.0004,9914864,0.0239,0.0206,-0.0497,492746900,416469679.9,8254012.69,富国基金,-36000000,-6.808550556,0.8417,931494.CSI,消费电子,40.982,3.1335,上海证券交易所
512640.SH,主,金融地产ETF基金,2.331,-0.007,-0.003,-0.0009,9905046,0.1405,0.0157,0.0104,30240900,70712296.47,78626.34,嘉实基金,-6000000,-16.55588023,2.3332,000934.SH,800金地,8.2704,0.8079,上海证券交易所
516920.SH,主,芯片50ETF,0.729,0.001,0.0014,0.0012,9901864,0.0204,0.0167,0.0055,666963000,485682456.6,7263487.5,汇添富基金,-40500000,-5.724681008,0.7281,h30007.CSI,芯片产业,123.2861,5.1591,上海证券交易所
516080.SH,主,创新药ETF易方达,0.618,-0.005,-0.008,0,9836496,0.0226,0.0131,0.1508,705554800,439066752,-5507326.76,易方达基金,59000000,9.125289921,0.618,931152.CSI,CS创新药,50.9495,3.6089,上海证券交易所
563180.SH,主,高股息ETF,1.053,0.001,0.001,-0.0002,9778953,0.023,-0.0028,-0.0436,403420000,423833052,4117790,银华基金,126000000,45.41849903,1.0532,h30366.CSI,高息策略,10.9852,1.1298,上海证券交易所
560100.SH,宽,中证500增强ETF,0.973,0.002,0.0021,0.0003,9614503,0.1164,0.0093,0.0188,85080300,82817164.02,340321.2,南方基金,-19500000,-18.64595913,0.9727,000905.SH,中证500,29.8503,1.8045,上海证券交易所
516750.SH,主,建材ETF,0.627,0.004,0.0064,-0.0002,9605696,0.1834,0.0097,-0.0218,83667300,52091260.98,-359769.39,富国基金,-12000000,-12.54347097,0.6271,931009.CSI,建筑材料,32.7651,0.9037,上海证券交易所
159322.SZ,主,黄金股票ETF基金,1.174,0.015,0.0129,-0.0031,9585622,0.2866,0.0335,0.3251,28411691,33020067.28,778436.326,平安基金,8000000,39.1932251,1.1776,931238.CSI,SSH黄金股票,19.1597,2.4424,深圳证券交易所
516220.SH,主,化工龙头ETF,0.622,0.006,0.0097,0,9557918,0.0829,0.0114,-0.022,185170000,114138788,855821,国泰基金,-15000000,-7.493630414,0.622,000813.CSI,细分化工,23.5157,1.8862,上海证券交易所
560630.SH,主,机器人产业ETF,0.918,-0.007,-0.0076,0.0003,9510529,0.0195,-0.0054,0,532394000,491506140.8,5261040.2,万家基金,,,0.9177,h30590.CSI,机器人,65.3296,3.8832,上海证券交易所
560330.SH,风,沪深300价值ETF申万菱信,1.171,0.003,0.0026,-0.0004,9374122,0.108,0.0077,0.0086,74130000,86695035,-118608,申万菱信基金,50000000,207.2109407,1.1715,000919.CSI,300价值,8.7462,0.9107,上海证券交易所
560660.SH,主,云50ETF,1.132,0.003,0.0027,0.0059,9357672,0.119,0.0404,0.0619,69969000,78519211.8,3349898.7,新华基金,17000000,32.0942438,1.1254,931469.CSI,云计算50,64.1241,5.038,上海证券交易所
530080.SH,宽,上证180ETF天弘,1.032,0.002,0.0019,-0.0004,9340388,0.193,0.0039,0,46917000,48399577.2,79758.9,天弘基金,,,1.0324,000010.SH,上证180,11.1484,1.1624,上海证券交易所
515750.SH,主,科技50ETF,1.335,0.002,0.0015,-0.0016,9303297,0.0143,0.0206,0.0023,488140500,650544844.4,12145139.75,富国基金,-37000000,-7.045733475,1.3371,931186.CSI,中证科技,38.6587,3.4036,上海证券交易所
515810.SH,宽,中证800ETF,1.296,0.001,0.0008,0.0018,9243358,0.0372,0.0078,0.0047,191908800,248253223.7,4711998.72,易方达基金,-57000000,-22.89995372,1.2937,000906.SH,中证800,14.2052,1.385,上海证券交易所
159641.SZ,主,双碳ETF,0.783,0.003,0.0038,0.0008,9175174,0.0346,-0.0013,-0.0063,338719131,264471897.5,-406462.9572,招商基金,-51000000,-13.08634756,0.7824,931755.CSI,SEEE碳中和,22.2658,1.8348,深圳证券交易所
159209.SZ,策,中证红利质量ETF,1.012,0.001,0.001,-0.0005,9101501,0.0427,0.004,0,210635053,213352245.2,-1076390.516,招商基金,,,1.0125,932315.CSI,中证红利质量,13.0613,2.2825,深圳证券交易所
561990.SH,宽,沪深300增强ETF,0.87,-0.001,-0.0011,0.0001,9069855,0.0123,0.0058,0.014,844649200,735013733.8,1013579.04,招商基金,-243000000,-22.3417624,0.8699,000300.SH,沪深300,12.6549,1.3137,上海证券交易所
159389.SZ,主,数字经济ETF基金,1.022,0.003,0.0029,0.0006,9045314,0.027,0,0,328093364,334819278,-26751830.25,嘉实基金,,,1.0214,931529.CSI,国企数字经济,29.4123,2.4534,深圳证券交易所
159796.SZ,主,电池50ETF,0.552,-0.001,-0.0018,-0.0016,9038079,0.0095,0,-0.0466,1720467550,953827209.7,6264202.65,汇添富基金,-15000000,-0.864320396,0.5529,931719.CSI,CS电池,25.1843,2.7959,深圳证券交易所
516300.SH,宽,中证1000ETF华泰柏瑞,2.528,-0.004,-0.0016,-0.0008,9026919,0.1021,0.012,0.0485,35012600,88739434.7,682745.7,华泰柏瑞基金,-38000000,-52.04581127,2.53,000852.SH,中证1000,40.9,2.0938,上海证券交易所
159707.SZ,行,地产ETF,0.582,0,0,-0.0003,8934639,0.0186,0,-0.0835,824048214,479266441.3,738477.1424,华宝基金,213000000,34.85813314,0.5822,399965.SZ,800地产,,0.6809,深圳证券交易所
159373.SZ,宽,创业板50ETF嘉实,0.956,-0.006,-0.0062,0.0003,8932148,0.024,0.0116,0,388557494,374025443.7,578737.6678,嘉实基金,,,0.9557,399673.SZ,创业板50,31.0115,4.0677,深圳证券交易所
515330.SH,宽,沪深300ETF天弘,1.091,0.001,0.0009,0.0004,8802575,0.0009,0.0046,-0.0136,8585709500,9362716210,15795444.7,天弘基金,-2484000000,-22.43961325,1.0906,000300.SH,沪深300,12.6549,1.3137,上海证券交易所
510990.SH,主,180ESGETF,0.905,-0.001,-0.0011,0.0004,8765689,0.1831,0.0056,0.0033,52948600,47839060.1,42358.88,工银瑞信基金,-8000000,-13.12581421,0.9046,931088.CSI,180ESG,10.6248,1.1194,上海证券交易所
159907.SZ,宽,2000ETF,0.816,0.001,0.0012,-0.0018,8760424,0.0545,0.0124,0.0625,197197694,161189395.1,1577581.552,广发基金,-24000000,-10.8500227,0.8175,399303.SZ,国证2000,52.4154,2.2653,深圳证券交易所
159520.SZ,主,消费龙头ETF,1.027,-0.005,-0.0048,-0.0001,8735316,0.0663,-0.0191,-0.0256,128177649,132433146.9,-461439.5364,工银瑞信基金,-19000000,-12.9095689,1.0271,931068.CSI,消费龙头,18.647,3.8007,深圳证券交易所
159695.SZ,主,通信ETF,1.202,0.009,0.0075,-0.0002,8664816,0.0834,0.0344,-0.0091,86812086,103618905.8,2283157.862,嘉实基金,14000000,19.22757714,1.2022,399389.SZ,国证通信,23.4117,2.0616,深圳证券交易所
159609.SZ,主,光伏龙头ETF,0.375,0,0,0.0013,8663343,0.0325,-0.0027,-0.1477,711903414,266963780.3,1281426.145,浦银安盛基金,124000000,21.09189997,0.3745,931151.CSI,光伏产业,,1.6922,深圳证券交易所
159511.SZ,行,通信ETF南方,1.067,0.004,0.0038,-0.0012,8592939,0.1036,0.0309,-0.0047,77944573,82956409.04,919074.6005,南方基金,17000000,27.89419823,1.0683,000936.CSI,800通信,22.5677,2.0295,深圳证券交易所
159779.SZ,主,消费电子50ETF,0.74,-0.005,-0.0067,-0.0015,8510248,0.076,0.0165,-0.0537,150869337,112171352.1,2640213.398,招商基金,33000000,27.99710327,0.7411,931494.CSI,消费电子,40.982,3.1335,深圳证券交易所
159757.SZ,主,电池30ETF,0.555,-0.001,-0.0018,0.0004,8505339,0.0279,0,0.0316,548931891,305864849.7,439145.5128,景顺长城基金,-38000000,-6.47434576,0.5548,980032.CNI,新能电池,26.8081,3.2098,深圳证券交易所
516090.SH,主,新能源ETF易方达,0.349,0,0,0.0037,8477482,0.013,0,-0.0911,1863844800,649549912.8,534784.48,易方达基金,78000000,4.367680775,0.3477,399808.SZ,中证新能,40.5799,1.9751,上海证券交易所
561170.SH,主,绿色电力ETF,1.062,0.002,0.0019,0,8475611,0.07,-0.0084,-0.0185,114032700,120760629.3,957270.57,富国基金,25500000,28.80291689,1.062,931897.CSI,绿色电力,17.5506,1.7677,上海证券交易所
560260.SH,主,医疗ETF龙头,0.825,-0.005,-0.006,0.0007,8427812,0.0052,0.0024,0.0135,1959664700,1630636997,-16151024.68,广发基金,-5000000,-0.254496352,0.8244,399989.SZ,中证医疗,32.0762,3.3003,上海证券交易所
510320.SH,宽,沪深300ETF中金,1.026,0.001,0.001,-0.0001,8418196,0.0175,0.0049,0,469068500,481358094.7,1172671.25,中金基金,,,1.0261,000300.SH,沪深300,12.6549,1.3137,上海证券交易所
159843.SZ,主,食品饮料ETF,0.663,0,0,0.0005,8395030,0.0315,-0.0104,-0.0207,401955141,266456063,-1165669.909,招商基金,-70500000,-14.92205162,0.6627,399396.SZ,国证食品,21.6236,4.381,深圳证券交易所
159847.SZ,主,医疗ETF易方达,0.385,-0.002,-0.0052,0.0021,8362487,0.0086,0.0026,0.0079,2537825354,984676237.4,-5075650.708,易方达基金,534000000,26.64902902,0.3842,399989.SZ,中证医疗,32.0762,3.3003,深圳证券交易所
561790.SH,主,央企现代能源ETF,1.065,0.01,0.0095,0.0016,8306609,0.174,0.0047,-0.0491,44934000,47463784.2,-40440.6,博时基金,-6000000,-11.77995052,1.0633,932037.CSI,央企现代能源,12.2982,1.3633,上海证券交易所
159881.SZ,主,有色60ETF,1.056,0.01,0.0096,-0.0023,8278852,0.162,0.0242,0.0943,48249583,50541438.19,-221948.0818,国泰基金,-19000000,-28.25296329,1.0584,930708.CSI,中证有色,19.6309,2.104,深圳证券交易所
515630.SH,主,保险证券ETF,1.239,-0.009,-0.0072,0.0002,8275081,0.0307,0.0147,-0.0621,217217700,271304907.3,2324229.39,鹏华基金,26500000,13.89488233,1.2387,399966.SZ,中证800证保,12.7397,1.388,上海证券交易所
515320.SH,主,电子50ETF,0.794,-0.001,-0.0013,0.0005,8259379,0.0565,0.0179,-0.0592,184309000,146415069.6,2022296.8,华安基金,-59000000,-24.24900024,0.7936,931461.CSI,电子50,42.6841,3.6127,上海证券交易所
563990.SH,策,800现金流ETF,1.029,0.005,0.0049,0.0001,8240826,0.07,-0.0048,0,114573000,117483154.2,-1418348.2,富国基金,,,1.0289,932368.CSI,800现金流,10.9819,1.4881,上海证券交易所
513900.SH,跨,港股通100ETF,0.998,0.001,0.001,-0.002,8219853,0.0543,0.0142,0.2024,151978000,152585912,-545209,华安基金,-23000000,-13.1445096,1,CES100.CSI,中华港股通精选100,15.7473,1.5654,上海证券交易所
516020.SH,主,化工ETF,0.596,0.004,0.0068,-0.001,8217098,0.0185,0.0102,-0.0181,745326200,440711382.1,673924.06,华宝基金,73000000,10.85782467,0.5966,000813.CSI,细分化工,23.5157,1.8862,上海证券交易所
159708.SZ,策,红利ETF,0.778,0.002,0.0026,0.0003,8196038,0.0357,-0.0064,-0.0051,295528306,229389071.1,-378973.5956,西部利得基金,-18000000,-5.741108428,0.7778,399324.SZ,深证红利,13.6402,1.9387,深圳证券交易所
516210.SH,行,银行ETF指数基金,1.392,0.005,0.0036,0.0012,8152769,0.0641,0.022,0.1065,91331000,126584766,-448994.5,华安基金,-6900000,-7.024259144,1.3904,399986.SZ,中证银行,6.6734,0.6778,上海证券交易所
159326.SZ,主,电网设备ETF,1.056,0,0,-0.0018,8112516,0.1388,0.0009,-0.0555,55265525,58266443.01,596867.67,华夏基金,-18000000,-24.56817173,1.0579,931994.CSI,电网设备主题,24.3734,2.1968,深圳证券交易所
588180.SH,宽,科创50ETF基金,0.641,-0.002,-0.0031,0.0005,8073723,0.0025,0.0063,0.0031,5036353700,3242404512,35254475.9,国联安基金,-434000000,-7.933673466,0.6407,000688.SH,科创50,97.7553,4.5058,上海证券交易所
516550.SH,主,农业ETF,0.673,0.004,0.006,-0.0022,8065788,0.0402,0.0182,0.0615,298414400,199639233.6,-3110444.96,嘉实基金,26000000,9.544282534,0.6745,399814.SZ,大农业,22.3584,2.9423,上海证券交易所
159806.SZ,主,新能源车ETF,0.526,-0.003,-0.0057,-0.0021,8043315,0.0083,-0.0075,0.0135,1838089446,972900743.8,1309789.446,国泰基金,-324000000,-14.98550398,0.5271,399976.SZ,CS新能车,30.8797,2.951,深圳证券交易所
159552.SZ,宽,中证2000增强ETF,1.6,-0.005,-0.0031,0.0002,8041112,0.175,0.0107,0.2279,28790319,46156639.42,544137.0291,招商基金,16500000,134.2520076,1.5997,932000.CSI,中证2000,138.5133,2.458,深圳证券交易所
588810.SH,主,科创芯片ETF富国,1.07,-0.005,-0.0047,0.0019,7990988,0.0857,0.021,0,87324000,93410482.8,5081092.8,富国基金,,,1.068,000685.SH,科创芯片,160.78,5.5097,上海证券交易所
159748.SZ,主,创新药ETF富国,0.672,0.002,0.003,-0.0019,7978992,0.0209,0.0291,0.2584,573692128,384947417.9,-9417136.79,富国基金,114000000,24.79920648,0.6733,931409.CSI,SHS创新药,46.9027,4.0089,深圳证券交易所
561750.SH,宽,中证A50ETF博时,0.993,0,0,-0.0012,7964987,0.0264,0,0,302996000,301481020,-4016256,博时基金,,,0.9942,930050.CSI,中证A50,17.7506,2.0012,上海证券交易所
516650.SH,主,有色金属ETF基金,1.055,0.012,0.0115,0,7940920,0.07,0.0223,0.099,107464800,112150265.3,-634042.32,华夏基金,,,1.055,000811.CSI,细分有色,19.1617,2.0674,上海证券交易所
159375.SZ,宽,创业板50ETF国泰,0.996,-0.007,-0.007,-0.0001,7922416,0.022,0.0122,0,359638135,360717049.4,4081997.703,国泰基金,,,0.9961,399673.SZ,创业板50,31.0115,4.0677,深圳证券交易所
588390.SH,宽,科创创业50ETF,0.587,0,0,0.002,7797282,0.0313,0.0121,-0.0548,425935900,250578090,3151925.66,博时基金,-18000000,-4.05463942,0.5858,931643.CSI,科创创业50,37.7891,4.2874,上海证券交易所
515770.SH,宽,摩根MSCIAETF,1.152,0.002,0.0017,-0.001,7795787,0.097,0.0044,-0.0145,69727300,80395576.9,244045.55,摩根基金,-6000000,-7.923166414,1.1531,718711L.MI,MSCI中国A股人民币指数,,,上海证券交易所
588160.SH,主,科创材料ETF,0.604,0.002,0.0033,-0.0005,7664820,0.0424,0.0067,0.0747,299496000,180596088,1437580.8,南方基金,-6000000,-1.964019169,0.6043,000689.SH,科创材料,137.0587,2.7469,上海证券交易所
562850.SH,主,央企能源ETF,1.065,0.007,0.0066,-0.0001,7659667,0.0783,0.0019,-0.0491,91981500,97325625.15,-73585.2,嘉实基金,-67000000,-42.14326824,1.0651,932037.CSI,央企现代能源,12.2982,1.3633,上海证券交易所
512120.SH,主,医药50ETF,0.436,-0.003,-0.0068,0.0002,7610762,0.0218,0.0023,0.066,802241900,351702849,-4936554.64,华安基金,-84000000,-9.47822485,0.4359,000814.SH,细分医药,27.4906,2.8826,上海证券交易所
159758.SZ,策,红利质量ETF,0.926,-0.003,-0.0032,-0.0036,7602358,0.0142,0.0065,0.0142,576290777,535604648.1,-2723175.193,华夏基金,-2000000,-0.345846775,0.9293,931468.CSI,红利质量,15.3804,2.4392,深圳证券交易所
588010.SH,主,科创新材料ETF,0.594,0,0,-0.0017,7585196,0.0288,0.0051,0.0703,442925800,263009340,2126043.84,博时基金,-260000000,-36.9882568,0.595,000689.SH,科创材料,137.0587,2.7469,上海证券交易所
561360.SH,行,石油ETF,1.012,0.005,0.005,-0.0007,7549774,0.0776,0.012,-0.0444,96148000,96772962,-1064788.8,国泰基金,19000000,24.62798776,1.0127,h30198.CSI,油气产业,11.5011,1.1672,上海证券交易所
159867.SZ,主,畜牧ETF,0.611,0.001,0.0016,0.0007,7504166,0.0135,0.02,0.0571,908143594,553150263.1,-6720051.331,鹏华基金,-175500000,-16.19536174,0.6106,930707.CSI,中证畜牧,17.0602,2.4547,深圳证券交易所
562990.SH,主,碳中和ETF易方达,0.745,0.001,0.0013,-0.0001,7501216,0.0072,-0.0013,-0.0106,1406756000,1046345113,-1828782.8,易方达基金,-222000000,-13.63003421,0.7451,931755.CSI,SEEE碳中和,22.2658,1.8348,上海证券交易所
562890.SH,宽,中证A50指数ETF,1.135,0,0,0.0003,7479730,0.017,0,-0.0035,387551000,440064160.5,5837546.9,嘉实基金,-67500000,-14.83350218,1.1347,930050.CSI,中证A50,17.7506,2.0012,上海证券交易所
561130.SH,主,国货ETF,0.777,-0.002,-0.0026,-0.001,7409800,0.0467,-0.0026,-0.0214,203935200,159028669,448657.44,富国基金,-24000000,-10.52930833,0.7778,931403.CSI,品牌工程,23.6147,3.6265,上海证券交易所
560380.SH,宽,A100ETF南方,0.989,0.001,0.001,0.0002,7342559,0.0389,0.002,-0.006,190861000,188627926.3,438980.3,南方基金,-18000000,-8.618171894,0.9888,000903.SH,中证A100,15.0367,1.5605,上海证券交易所
561700.SH,行,电力ETF基金,1.018,0.003,0.003,-0.0003,7304895,0.046,-0.0088,-0.0249,155813600,158197548.1,1337773.68,博时基金,54500000,53.79337029,1.0183,h30199.CSI,中证全指电力指数,17.0907,1.7182,上海证券交易所
159318.SZ,跨,恒生港股通ETF,1.3,0.005,0.0039,-0.0036,7286300,0.1532,0.0133,0.167,36601647,47779789.99,-809058.2596,银华基金,-10000000,-21.45846905,1.3047,HSISC.HI,恒指港股通,10.2676,1.0877,深圳证券交易所
515960.SH,策,医药健康ETF,0.776,-0.002,-0.0026,0.0008,7209362,0.0321,0.0131,0.0674,289991900,225816692.5,-8272323.05,嘉实基金,-42000000,-12.65091106,0.7754,931166.CSI,医药健康100,24.8866,3.115,上海证券交易所
159208.SZ,行,航天航空ETF,1.028,-0.004,-0.0039,0,7109708,0.1155,-0.0019,0,59462783,61359645.78,47570.2264,万家基金,,,1.028,CN5082.CNI,国证航天,97.9967,3.2589,深圳证券交易所
